id,name,path
"1334134_6077448_8556408","How to Make a Personalized Monogram Mug With the Cricut Mug Press","Arts Crafts & Sewing/Crafting Ideas/How to Make a Personalized Monogram Mug With the Cricut Mug Press"
"1334134_6077448_3648792","How to Make a Pouf","Arts Crafts & Sewing/Crafting Ideas/How to Make a Pouf"
"1334134_6077448_3199318","How to make an avocado toast t-shirt with Cricut InfusibleInk","Arts Crafts & Sewing/Crafting Ideas/How to make an avocado toast t-shirt with Cricut InfusibleInk"
"1334134_6077448_7918193","How to Make DIY Resin Geodes with Mod Podge","Arts Crafts & Sewing/Crafting Ideas/How to Make DIY Resin Geodes with Mod Podge"
"1334134_6077448_7206639","How to Make Painted Rock Cacti with Better Homes & Gardens","Arts Crafts & Sewing/Crafting Ideas/How to Make Painted Rock Cacti with Better Homes & Gardens"
"1334134_6077448_5059154","How to Make Stepping Stones Kids' Crafts","Arts Crafts & Sewing/Crafting Ideas/How to Make Stepping Stones Kids' Crafts"
"1334134_6077448_5940219","How to Paint a Beach Scene","Arts Crafts & Sewing/Crafting Ideas/How to Paint a Beach Scene"
"1334134_6077448_5554714","How to Paint Flowers With Acrylic Paints","Arts Crafts & Sewing/Crafting Ideas/How to Paint Flowers With Acrylic Paints"
"1334134_6077448_9299090","How to Paint Shoes With Acrylic Paint","Arts Crafts & Sewing/Crafting Ideas/How to Paint Shoes With Acrylic Paint"
"1334134_6077448_1303514","How to Sew a Dog Bed with Better Homes & Gardens Fabric","Arts Crafts & Sewing/Crafting Ideas/How to Sew a Dog Bed with Better Homes & Gardens Fabric"
"1334134_6077448_3069341","How to Sew an Envelope Pillow","Arts Crafts & Sewing/Crafting Ideas/How to Sew an Envelope Pillow"
"1334134_6077448_9050402","How to Sew Curtains","Arts Crafts & Sewing/Crafting Ideas/How to Sew Curtains"
"1334134_6077448_8695018","How to sew DIY scrunchies","Arts Crafts & Sewing/Crafting Ideas/How to sew DIY scrunchies"
"1334134_6077448_4940683","How to Shadow Draw & Why You Should","Arts Crafts & Sewing/Crafting Ideas/How to Shadow Draw & Why You Should"
"1334134_6077448_6908136","How to Tie Dye: The Basics","Arts Crafts & Sewing/Crafting Ideas/How to Tie Dye: The Basics"
"1334134_6077448_5519210","Ice Tie Dye: How to Master This DIY Idea","Arts Crafts & Sewing/Crafting Ideas/Ice Tie Dye: How to Master This DIY Idea"
"1334134_6077448_4522011","Knitting a blanket: a beginner's guide","Arts Crafts & Sewing/Crafting Ideas/Knitting a blanket: a beginner's guide"
